<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2004.03.26;00:00:00;1.21200;1.21480;1.21180;1.21450;1414;0;40
2004.03.26;04:00:00;1.21450;1.21520;1.21150;1.21230;1341;0;40
2004.03.26;08:00:00;1.21230;1.22010;1.20700;1.21820;2318;0;40
2004.03.26;12:00:00;1.21830;1.22150;1.21480;1.21600;2102;0;40
2004.03.26;16:00:00;1.21580;1.21730;1.20780;1.21120;1977;0;40
2004.03.26;20:00:00;1.21120;1.21400;1.21020;1.21230;1219;0;40
2004.03.29;00:00:00;1.21180;1.21440;1.20710;1.20760;1414;0;40
2004.03.29;04:00:00;1.20760;1.21020;1.20740;1.20950;1470;0;40
2004.03.29;08:00:00;1.20950;1.21370;1.20460;1.21270;2006;0;40
2004.03.29;12:00:00;1.21280;1.21700;1.21000;1.21610;2028;0;40
2004.03.29;16:00:00;1.21610;1.21710;1.21300;1.21550;1737;0;40
2004.03.29;20:00:00;1.21570;1.21640;1.21350;1.21600;1424;0;40
2004.03.30;00:00:00;1.21600;1.22020;1.21510;1.21890;1268;0;40
2004.03.30;04:00:00;1.21880;1.22100;1.21690;1.21940;1463;0;40
2004.03.30;08:00:00;1.21930;1.22280;1.21800;1.22160;2025;0;40
2004.03.30;12:00:00;1.22170;1.22290;1.21840;1.21950;1879;0;40
2004.03.30;16:00:00;1.21920;1.22160;1.21600;1.21890;1993;0;40
2004.03.30;20:00:00;1.21890;1.21970;1.21640;1.21700;1565;0;40
2004.03.31;00:00:00;1.21730;1.22210;1.21690;1.22160;1376;0;40
2004.03.31;04:00:00;1.22190;1.22520;1.22030;1.22350;1674;0;40
2004.03.31;08:00:00;1.22340;1.22690;1.22190;1.22300;1998;0;40
2004.03.31;12:00:00;1.22290;1.22420;1.22090;1.22350;1845;0;40
2004.03.31;16:00:00;1.22340;1.23230;1.22330;1.22960;2122;0;40
2004.03.31;20:00:00;1.22980;1.23250;1.22860;1.23160;1523;0;40
2004.04.01;00:00:00;1.23140;1.23200;1.22660;1.22720;1229;0;40
2004.04.01;04:00:00;1.22730;1.22880;1.22540;1.22700;1332;0;40
2004.04.01;08:00:00;1.22680;1.23400;1.22530;1.23280;1761;0;40
2004.04.01;12:00:00;1.23290;1.23910;1.23070;1.23720;2282;0;40
2004.04.01;16:00:00;1.23720;1.23780;1.23020;1.23620;2027;0;40
2004.04.01;20:00:00;1.23620;1.23730;1.23430;1.23650;1562;0;40
2004.04.02;00:00:00;1.23640;1.23740;1.23460;1.23580;1235;0;40
2004.04.02;04:00:00;1.23590;1.23730;1.23480;1.23580;1274;0;40
2004.04.02;08:00:00;1.23580;1.23610;1.23060;1.23120;1810;0;40
2004.04.02;12:00:00;1.23110;1.23320;1.21620;1.21710;2327;0;40
